Time,Date,Latitude,Longitude,Total PDCP DL Throughput,Total PDCP UL Throughput,PDSCH Phy Throughput (kbps),PUSCH Phy Throughput (kbps),PDSCH Resource Blocks Allocated (Allocated Subframes Only),PDSCH Resource Block Allocation (%),PUSCH Resource Blocks Allocated (Allocated Subframes Only),Number of PUSCH Resource Blocks,Number of PDSCH Resource Blocks,PDCP Throughput DL (kbps),PDCP Throughput UL (kbps),PHY Layer Throughput PDSCH (kbps),PHY Layer Throughput PUSCH (kbps),RLC Throughput DL (kbps)(LTE Throughputs from Data Collector),RLC Throughput UL (kbps)(LTE Throughputs from Data Collector)
51:37.0,3/21/2022,7.2817665,5.216789,1.269999981,2.289999962,3.440000057,74.44999695,7.199999809,0.059999999,2.200000048,0.100000001,0.100000001,1.679999948,2.359999895,12.56000042,113.0199966,1.570000052,2.180000067
51:39.0,3/21/2022,7.2817695,5.2170275,0.779999971,1.360000014,1.5,3.099999905,3.900000095,0.119999997,3,0,0.100000001,0.779999971,1.5,1.450000048,6.440000057,0.670000017,2.49000001
51:41.0,3/21/2022,7.2817675,5.2172655,0.389999986,1.039999962,1.289999962,2.430000067,3.599999905,0.560000002,3,0,0.600000024,0.519999981,1.039999962,2.25999999,3.720000029,1.279999971,0.75
51:43.0,3/21/2022,7.2817615,5.217503,0.779999971,1.039999962,2.569999933,1.820000052,3.700000048,0.400000006,3,0,0.400000006,0.779999971,0.689999998,1.629999995,4.599999905,0.649999976,1.5
51:45.0,3/21/2022,7.2817545,5.2177465,1.460000038,1.769999981,3.5,6.860000134,3.799999952,0.050000001,3,0,0.100000001,1.460000038,1.830000043,8.649999619,10.77999973,1.24000001,1.659999967
51:47.0,3/21/2022,7.281742,5.217999,0.779999971,2.430000067,3.339999914,5.710000038,4,0.829999983,3.099999905,0,0.800000012,0.779999971,2.430000067,4.460000038,8.479999542,0.680000007,1.659999967
51:49.0,3/21/2022,7.281719,5.2182615,0.779999971,1.679999948,4.630000114,4.420000076,3.900000095,0.159999996,3,0,0.200000003,0.779999971,1.679999948,4.800000191,10.46000004,1.330000043,3.049999952
51:51.0,3/21/2022,7.281695,5.2185285,0.779999971,1.039999962,3.50999999,2.660000086,4,0.439999998,3,0,0.400000006,0.779999971,0.689999998,2.130000114,4.150000095,0.649999976,0.980000019
51:53.0,3/21/2022,7.281665,5.2187925,0.389999986,1.320000052,3.5,3.25999999,3.799999952,0.649999976,3,0,0.699999988,0.519999981,1.320000052,3.25999999,5.130000114,0.670000017,1.5
51:55.0,3/21/2022,7.281629,5.219053,0.779999971,0.519999981,3.829999924,2.660000086,5.699999809,0.379999995,3,0,0.400000006,0.779999971,1.039999962,7.119999886,6.869999886,0.649999976,0.949999988
